Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
wllumitaxi,CAIDO,afaguirre,INC000086935506,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,wllumitaxi,INC000086934745,El Oro - O&M Total
mcnaranjo,FALLA AC,mgranda,INC000086934743,El Oro - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000086933983,El Oro - O&M Total
gguayanlema,CAIDO,calopez,INC000086931707,El Oro - O&M Total
gguayanlema,caido,rtaco,INC000086930188,Manabi - O&M Total
basanguano,CAIDO,basanguano,INC000086930186,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,wllumitaxi,INC000086930184,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDO,egcadena,INC000086929992,Energía y Climatización - Región Pacífico
basanguano,CAIDO,basanguano,INC000086929422,Redes Inalámbricas - Región Austro
basanguano,CAIDO,basanguano,INC000086927904,Redes Inalámbricas - Móvil Pacífico
